Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index
2020,Merchandise Exports_Crude Oil (Millions of US Dollars),315.11,366.70,108.15,226.56,162.94,241.82,208.38,298.94,277.27,201.72,211.80,291.23,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Exports_Cocoa Products (Millions of US Dollars),84.59,72.40,79.46,105.14,67.04,97.89,78.09,67.62,30.05,40.34,63.93,61.41,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Exports_Cocoa Beans (Millions of US Dollars),322.38,236.96,180.42,119.78,110.05,66.44,22.10,10.36,2.47,21.46,160.86,226.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Exports_Gold (Millions of US Dollars),515.74,470.17,487.99,587.91,568.87,552.01,524.29,625.51,672.38,724.68,530.70,538.84,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2020,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,437.07","1,364.50","1,088.46","1,249.01","1,079.15","1,177.81","1,051.48","1,182.25","1,168.99","1,218.87","1,155.78","1,298.16",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),85.48,292.75,264.17,393.31,142.54,176.59,-9.19,75.31,108.99,-38.33,342.36,422.85,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Imports_Oil & Gas (Millions of US Dollars),193.51,222.46,259.97,190.92,168.18,239.42,240.25,216.58,147.78,276.29,150.04,114.85,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Imports_Non-Oil (Millions of US Dollars),"1,063.33",807.98,827.86,743.29,"1,098.74",876.94,"1,082.71",917.44,885.73,"1,030.36",789.41,866.65,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,256.84","1,030.44","1,087.83",934.21,"1,266.92","1,116.36","1,322.96","1,134.02","1,033.51","1,306.66",939.44,981.50,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Exports_Other Exports (Millions of US Dollars),307.31,236.79,308.01,312.26,327.00,267.50,331.53,230.15,243.56,260.04,256.62,243.63,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),13.90,18.07,15.51,12.14,15.06,12.88,14.03,18.08,11.11,15.28,11.97,10.98,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Exports_Crude Oil (Millions of US Dollars),348.27,381.70,324.13,348.64,470.09,416.91,443.50,339.86,352.36,404.21,361.29,302.11,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Exports_Cocoa Beans (Millions of US Dollars),215.52,211.46,200.96,135.89,92.65,77.73,14.93,1.70,8.10,20.94,177.56,293.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Exports_Gold (Millions of US Dollars),457.32,475.18,503.40,518.57,504.68,517.93,509.79,619.54,527.38,567.85,474.35,553.71,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2019,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,342.32","1,323.19","1,352.01","1,327.51","1,409.47","1,292.96","1,313.77","1,209.33","1,142.50","1,268.32","1,281.80","1,404.35",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Imports_Oil & Gas (Millions of US Dollars),210.82,176.10,273.51,246.13,249.69,152.91,222.48,165.28,200.62,303.36,164.20,215.81,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),253.45,259.87,212.79,301.78,239.70,-10.13,-3.78,141.45,162.18,52.74,200.39,-1.80,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Imports_Non-Oil (Millions of US Dollars),969.67,855.75,848.63,834.77,915.21,866.91,862.15,900.94,815.30,858.29,941.91,883.63,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,180.48","1,031.85","1,122.14","1,080.89","1,164.90","1,019.82","1,084.64","1,066.22","1,015.93","1,161.64","1,106.11","1,099.44",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Exports_Other Exports (Millions of US Dollars),275.81,271.97,299.43,324.57,328.87,240.62,231.71,239.09,274.75,285.94,273.49,259.41,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Exports_Crude Oil (Millions of US Dollars),400.05,264.84,387.87,409.76,448.45,220.77,358.17,427.99,460.51,466.57,390.91,337.51,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Exports_Cocoa Beans (Millions of US Dollars),232.69,254.93,178.73,137.87,81.43,60.83,30.02,16.20,12.92,18.61,168.36,213.86,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),23.61,19.23,20.44,22.46,19.57,19.50,14.61,19.05,13.81,16.21,16.53,16.44,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Exports_Gold (Millions of US Dollars),501.78,480.75,448.46,488.00,526.28,467.97,446.34,505.34,416.12,427.05,457.21,270.42,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2018,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,433.93","1,291.72","1,334.93","1,382.67","1,404.60","1,009.69","1,080.85","1,207.67","1,178.11","1,214.39","1,306.50","1,097.65",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),246.42,252.36,413.84,251.34,107.13,-142.34,-84.80,-178.24,-87.88,-47.01,231.74,225.11,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Imports_Non-Oil (Millions of US Dollars),871.93,754.67,846.48,708.97,881.18,936.69,842.35,"1,022.36",907.05,960.25,982.11,941.16,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Imports_Oil & Gas (Millions of US Dollars),187.76,221.09,159.81,191.84,158.63,150.42,138.78,185.50,144.15,137.84,127.48,188.85,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,059.70",975.76,"1,006.29",900.82,"1,039.81","1,087.11",981.12,"1,207.86","1,051.20","1,098.09","1,109.59","1,130.01",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Exports_Other Exports (Millions of US Dollars),198.22,215.93,289.49,214.68,261.21,242.07,228.62,246.70,197.17,236.70,260.27,224.22,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Exports_Crude Oil (Millions of US Dollars),161.16,217.67,253.70,212.77,188.05,209.19,184.97,304.14,271.33,311.23,421.37,379.54,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),18.81,12.54,10.71,10.35,14.72,22.67,13.34,17.52,17.58,23.67,27.00,26.05,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Exports_Cocoa Beans (Millions of US Dollars),319.35,218.42,276.74,276.85,214.06,113.41,36.76,14.77,8.64,15.45,151.83,257.20,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Exports_Gold (Millions of US Dollars),608.57,563.57,589.47,437.50,468.89,357.43,432.63,446.49,468.60,464.04,480.85,468.11,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2017,Merchandise Exports (f.o.b) (Millions of US Dollars),"1,306.12","1,228.12","1,420.13","1,152.15","1,146.94",944.77,896.32,"1,029.61",963.32,"1,051.08","1,341.33","1,355.12",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-247.86,-149.42,-278.74,-259.65,-299.72,-164.81,-278.29,-165.10,26.88,-191.48,4.37,222.05,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Imports_Oil & Gas (Millions of US Dollars),141.55,131.87,143.45,142.81,189.22,153.36,194.61,152.80,182.87,144.61,133.80,123.94,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Imports_Non-Oil (Millions of US Dollars),983.38,899.33,992.99,865.79,989.18,906.41,958.32,"1,008.11",791.44,935.53,887.93,866.81,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,124.93","1,031.20","1,136.44","1,008.60","1,178.40","1,059.77","1,152.93","1,160.91",974.31,"1,080.14","1,021.73",990.74,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Exports_Other Exports (Millions of US Dollars),180.24,223.62,219.63,221.43,272.01,226.98,212.72,245.88,220.30,242.87,225.94,203.02,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Exports_Crude Oil (Millions of US Dollars),92.07,120.24,0.00,0.00,48.10,147.85,89.91,184.84,89.82,222.95,140.68,208.75,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),17.52,19.17,19.06,30.74,21.19,21.68,23.14,23.83,23.19,20.34,14.91,20.95,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Exports_Cocoa Beans (Millions of US Dollars),325.04,248.95,228.98,161.39,148.60,87.55,78.51,21.93,0.72,16.50,272.75,332.38,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Exports_Gold (Millions of US Dollars),262.19,269.79,390.02,335.40,388.78,410.90,470.36,519.34,667.15,386.01,371.82,447.70,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2016,Merchandise Exports (f.o.b) (Millions of US Dollars),877.07,881.79,857.70,748.95,878.69,894.96,874.64,995.82,"1,001.19",888.67,"1,026.10","1,212.79",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),-125.70,-39.95,-218.96,-158.08,-232.19,-166.92,-431.58,-404.82,-389.55,-665.00,-122.22,-188.85,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Imports_Non-Oil (Millions of US Dollars),"1,019.60",877.51,908.18,972.00,837.52,866.33,971.29,965.39,952.47,"1,212.20",903.96,932.00,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Imports_Oil & Gas (Millions of US Dollars),150.83,134.24,176.74,196.25,225.32,174.36,187.50,217.23,133.40,184.68,140.83,125.33,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Imports (f.o.b) (Millions of US Dollars),"1,170.43","1,011.75","1,084.92","1,168.25","1,062.84","1,040.69","1,158.79","1,182.62","1,085.87","1,396.88","1,044.79","1,057.33",merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Exports_Other Exports (Millions of US Dollars),233.84,264.68,274.25,264.33,288.36,260.91,242.74,266.01,201.41,251.41,205.93,243.75,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2015,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),15.92,15.31,17.76,17.76,15.32,17.46,19.10,16.95,15.79,18.91,15.99,22.65,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
