date,year,month,month_name,variable,value,source_page,source_url,datatable_index,quarter,quarter_name
1979-01-01,1979,1,Jan,Inflation Headline (%) Year-on-Year,103.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-02-01,1979,2,Feb,Inflation Headline (%) Year-on-Year,103.09,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-03-01,1979,3,Mar,Inflation Headline (%) Year-on-Year,95.91,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-04-01,1979,4,Apr,Inflation Headline (%) Year-on-Year,93.73,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-05-01,1979,5,May,Inflation Headline (%) Year-on-Year,94.43,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-06-01,1979,6,Jun,Inflation Headline (%) Year-on-Year,69.83,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-07-01,1979,7,Jul,Inflation Headline (%) Year-on-Year,42.03,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-08-01,1979,8,Aug,Inflation Headline (%) Year-on-Year,35.15,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-09-01,1979,9,Sep,Inflation Headline (%) Year-on-Year,28.01,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-10-01,1979,10,Oct,Inflation Headline (%) Year-on-Year,21.51,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-11-01,1979,11,Nov,Inflation Headline (%) Year-on-Year,18.63,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-12-01,1979,12,Dec,Inflation Headline (%) Year-on-Year,18.29,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1979-12-31,1979,,,Inflation Headline (%) Year-on-Year,103.3,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-01-01,1980,1,Jan,Inflation Headline (%) Year-on-Year,17.29,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-02-01,1980,2,Feb,Inflation Headline (%) Year-on-Year,13.91,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
1980-03-01,1980,3,Mar,Inflation Headline (%) Year-on-Year,16.78,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,
