date,year,month,month_name,variable,value,source_page,source_url,datatable_index
2008-01-01,2008,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),406.08,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-02-01,2008,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),444.06,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-03-01,2008,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),464.73,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-04-01,2008,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),521.94,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-05-01,2008,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),526.06,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-06-01,2008,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),482.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-07-01,2008,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),485.16,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-08-01,2008,8,Aug,Merchandise Exports (f.o.b) (Millions of US Dollars),403.52,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-09-01,2008,9,Sep,Merchandise Exports (f.o.b) (Millions of US Dollars),340.16,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-10-01,2008,10,Oct,Merchandise Exports (f.o.b) (Millions of US Dollars),374.12,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-11-01,2008,11,Nov,Merchandise Exports (f.o.b) (Millions of US Dollars),408.91,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2008-12-01,2008,12,Dec,Merchandise Exports (f.o.b) (Millions of US Dollars),412.04,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009-01-01,2009,1,Jan,Merchandise Exports (f.o.b) (Millions of US Dollars),571.44,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009-02-01,2009,2,Feb,Merchandise Exports (f.o.b) (Millions of US Dollars),456.93,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009-03-01,2009,3,Mar,Merchandise Exports (f.o.b) (Millions of US Dollars),421.83,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009-04-01,2009,4,Apr,Merchandise Exports (f.o.b) (Millions of US Dollars),578.77,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009-05-01,2009,5,May,Merchandise Exports (f.o.b) (Millions of US Dollars),489.14,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009-06-01,2009,6,Jun,Merchandise Exports (f.o.b) (Millions of US Dollars),510.92,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
2009-07-01,2009,7,Jul,Merchandise Exports (f.o.b) (Millions of US Dollars),380.25,merchandise_trade_flows,https://www.bog.gov.gh/economic-data/merchandise-trade-flows/,0
