Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,source_page,source_url,datatable_index,First Quarter,Second Quarter,Third Quarter,Fourth Quarter,col_3
2003,Bank of Ghana Composite Index of Economic Activity (Real),113.27,104.74,111.99,106.27,111.09,112.30,118.14,121.66,122.68,119.75,114.15,131.00,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2003,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),23.92,24.45,20.56,17.27,19.92,22.05,24.77,27.88,24.19,28.13,17.11,24.13,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2003,Bank of Ghana Composite Index of Economic Activity (Nominal),130.87,125.25,134.21,129.55,136.75,139.47,146.12,152.21,153.70,154.16,151.24,170.04,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2003,Inflation Headline (%) Year-on-Year,13.48,25.48,29.84,29.34,31.61,32.94,33.03,33.58,29.79,33.17,33.63,31.27,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2002,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),-1.38,-1.05,-1.50,7.89,2.52,6.18,12.24,2.59,13.68,8.85,17.91,14.80,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2002,Bank of Ghana Composite Index of Economic Activity (Real),98.76,92.51,104.66,102.50,105.72,105.19,107.53,108.92,112.33,106.47,114.89,122.70,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2002,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),11.60,9.87,8.73,16.83,12.33,15.74,20.60,12.21,23.01,18.37,26.97,25.17,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2002,Bank of Ghana Composite Index of Economic Activity (Nominal),105.61,100.64,111.32,110.48,114.03,114.28,117.11,119.03,123.77,120.31,129.14,136.98,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2002,Inflation Headline (%) Year-on-Year,19.90,18.30,16.00,14.90,14.30,13.70,13.50,13.10,12.90,13.20,14.00,15.20,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2001,Bank of Ghana Composite Index of Economic Activity (Real Growth) (%),0.00,4.31,10.60,3.09,5.20,0.40,-0.85,3.40,0.46,5.40,3.32,4.47,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2001,Bank of Ghana Composite Index of Economic Activity (Real),100.14,93.49,106.26,95.01,103.12,99.06,95.80,106.17,98.82,97.81,97.43,106.89,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2001,Bank of Ghana Composite Index of Economic Activity (Nominal Growth) (%),0.00,30.37,36.40,26.77,26.70,19.65,16.88,17.98,14.02,18.54,15.21,14.50,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2001,Bank of Ghana Composite Index of Economic Activity (Nominal),94.63,91.60,102.38,94.56,101.51,98.73,97.10,106.07,100.62,101.64,101.71,109.44,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2001,Inflation Headline (%) Year-on-Year,40.93,40.14,41.95,39.50,37.92,36.84,34.89,32.02,28.31,25.60,23.68,21.29,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2000,Bank of Ghana Composite Index of Economic Activity (Real),1.05,89.63,96.07,92.16,98.03,98.67,96.62,102.67,98.36,92.80,94.30,102.31,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2000,Bank of Ghana Composite Index of Economic Activity (Nominal),1.37,70.26,75.06,74.59,80.12,82.52,83.08,89.91,88.24,85.75,88.28,95.59,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
2000,Inflation Headline (%) Year-on-Year,14.28,14.93,15.57,17.51,18.72,19.84,22.07,26.61,32.30,37.38,39.54,40.54,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1999,Inflation Headline (%) Year-on-Year,15.33,15.04,13.74,10.23,9.40,10.26,12.69,12.00,11.79,12.62,13.24,13.80,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
1998,Inflation Headline (%) Year-on-Year,19.80,19.60,20.30,23.10,22.90,21.80,18.70,18.60,17.38,17.14,16.16,15.75,real_sector,https://www.bog.gov.gh/economic-data/real-sector/,0,,,,,
