pair,a,b,family,Sn,p_value,exceed,n_boot,params,loglik,AIC,lambda_lower_model,lambda_upper_model,seed
Gold–Cedi,gold,cedi,survival_gumbel,0.028063359023,0.255372313843,510,2000,"{""theta"": 1.000335464059738}",-0.00243251631109,2.00486503262,0.000464841950599,0,692055063
Gold–Cedi,gold,cedi,t,0.0272468361217,0.07996001999,159,2000,"{""nu"": 47.64245974197469, ""rho"": 0.006654725375312511}",0.575301584404,2.84939683119,8.88166856845e-09,8.88166856845e-09,3749057128
Gold–WTI,gold,wti,clayton,0.0681409456216,0.000499750124938,0,2000,"{""theta"": 0.09145418963896007}",9.81320632307,-17.6264126461,0.00051098332051,0,987613356
Gold–WTI,gold,wti,frank,0.0634519375953,0.00149925037481,2,2000,"{""theta"": 0.4687728446771448}",8.11797998253,-14.2359599651,0,0,1554753874
Gold–WTI,gold,wti,gaussian,0.0674154087701,0.000499750124938,0,2000,"{""rho"": 0.09148363861636795}",11.537609636,-21.0752192721,0,0,2918575005
Gold–WTI,gold,wti,gumbel,0.0621422785322,0.00299850074963,5,2000,"{""theta"": 1.0611872544441006}",17.1631405713,-32.3262811425,0,0.0783564444074,856290894
Gold–WTI,gold,wti,joe,0.0601594006051,0.00849575212394,16,2000,"{""theta"": 1.078696015751667}",15.3170831956,-28.6341663911,0,0.0986221834301,4014598797
Gold–WTI,gold,wti,survival_clayton,0.060851445862,0.00349825087456,6,2000,"{""theta"": 0.10775040917645837}",13.9323361204,-25.8646722408,0,0.0016077878668,2386574867
Gold–WTI,gold,wti,survival_gumbel,0.0669056826099,0.00149925037481,2,2000,"{""theta"": 1.0542453284776756}",11.8526393204,-21.7052786409,0.0700736124189,0,720715135
Gold–WTI,gold,wti,t,0.0551556907097,0.000999500249875,1,2000,"{""nu"": 9.672085722665816, ""rho"": 0.08469941351252783}",23.1871871351,-42.3743742702,0.0124428809958,0.0124428809958,2266767884
WTI–Cedi,wti,cedi,clayton,0.0170853825888,0.662668665667,1325,2000,"{""theta"": 0.0024787647509636403}",-0.0440655785401,2.08813115708,3.60120717773e-122,0,28329583
WTI–Cedi,wti,cedi,frank,0.0139212943479,0.707146426787,1414,2000,"{""theta"": -0.07686787272179114}",0.226258827679,1.54748234464,0,0,235975379
WTI–Cedi,wti,cedi,gaussian,0.0148014179506,0.710644677661,1421,2000,"{""rho"": -0.01823721295040032}",0.456564613947,1.08687077211,0,0,28301194
WTI–Cedi,wti,cedi,gumbel,0.0163084785098,0.72363818091,1447,2000,"{""theta"": 1.0003354647429616}",-0.00766276684515,2.01532553369,0,0.000464842896893,919408617
WTI–Cedi,wti,cedi,joe,0.0160445535213,0.748125937031,1496,2000,"{""theta"": 1.0003354640762054}",-0.00149088799325,2.00298177599,0,0.000464841973408,3036981423
WTI–Cedi,wti,cedi,survival_clayton,0.0174123918894,0.633683158421,1267,2000,"{""theta"": 0.002478763008007555}",-0.145073744152,2.2901474883,0,3.60049915533e-122,59308130
WTI–Cedi,wti,cedi,survival_gumbel,0.0161809663855,0.737631184408,1475,2000,"{""theta"": 1.0003354645828069}",-0.0324625525737,2.06492510515,0.000464842675072,0,4085611316
WTI–Cedi,wti,cedi,t,0.014682453621,0.690154922539,1380,2000,"{""nu"": 40.14494900227483, ""rho"": -0.017151713269992444}",1.24755922865,1.50488154269,7.62439810676e-08,7.62439810676e-08,3132540074
