a,b,family,same_observed_parameters,max_abs_parameter_difference,Sn_old_gof_estimator,Sn_new_copulas_estimator,abs_Sn_difference,old_rho,new_rho,absdiff_rho,old_nu,new_nu,absdiff_nu,old_theta,new_theta,absdiff_theta
cocoa,brent,survival_gumbel,True,0,0.0420889513028,0.0420889513028,0,,,,,,,1.05767402918,1.05767402918,0
cocoa,wti,gaussian,True,0,0.0438056487356,0.0438056487356,0,0.0853179045578,0.0853179045578,0,,,,,,
cocoa,wti,t,True,0,0.0409967831504,0.0409967831504,0,0.0855031073597,0.0855031073597,0,27.4171865738,27.4171865738,0,,,
cocoa,wti,clayton,True,0,0.0424554809906,0.0424554809906,0,,,,,,,0.104304048643,0.104304048643,0
cocoa,wti,gumbel,True,0,0.0702450469127,0.0702450469127,0,,,,,,,1.03749578318,1.03749578318,0
cocoa,wti,frank,True,0,0.0444095456424,0.0444095456424,0,,,,,,,0.503042428473,0.503042428473,0
cocoa,wti,joe,True,0,0.129518120524,0.129518120524,0,,,,,,,1.03099750995,1.03099750995,0
cocoa,wti,survival_clayton,True,0,0.0881894420184,0.0881894420184,0,,,,,,,0.0629474720105,0.0629474720105,0
cocoa,wti,survival_gumbel,True,0,0.0379872023928,0.0379872023928,0,,,,,,,1.05631609207,1.05631609207,0
cocoa,cedi,gaussian,True,0,0.0264708511482,0.0264708511482,0,0.00646647708262,0.00646647708262,0,,,,,,
cocoa,cedi,t,True,0,0.0264708511482,0.0264708511482,0,0.00645885093224,0.00645885093224,0,11617958.1154,11617958.1154,0,,,
cocoa,cedi,clayton,True,0,0.0257179269166,0.0257179269166,0,,,,,,,0.00618811639175,0.00618811639175,0
cocoa,cedi,gumbel,True,0,0.0278762607484,0.0278762607484,0,,,,,,,1.00033546463,1.00033546463,0
cocoa,cedi,frank,True,0,0.0258917647546,0.0258917647546,0,,,,,,,0.0585464984616,0.0585464984616,0
cocoa,cedi,joe,True,0,0.0278354857112,0.0278354857112,0,,,,,,,1.00033546455,1.00033546455,0
cocoa,cedi,survival_clayton,True,0,0.0276292639258,0.0276292639258,0,,,,,,,0.00247876425189,0.00247876425189,0
cocoa,cedi,survival_gumbel,True,0,0.0277116961145,0.0277116961145,0,,,,,,,1.00033546434,1.00033546434,0
gold,brent,gaussian,True,0,0.0634791693898,0.0634791693898,0,0.0775395086355,0.0775395086355,0,,,,,,
gold,brent,t,True,0,0.0530732836329,0.0530732836329,0,0.076665721948,0.076665721948,0,9.99898499962,9.99898499962,0,,,
gold,brent,clayton,True,0,0.0713452709617,0.0713452709617,0,,,,,,,0.0910837057531,0.0910837057531,0
gold,brent,gumbel,True,0,0.0622456716922,0.0622456716922,0,,,,,,,1.04684021293,1.04684021293,0
gold,brent,frank,True,0,0.0632218482892,0.0632218482892,0,,,,,,,0.453143012303,0.453143012303,0
gold,brent,joe,True,0,0.0820848464212,0.0820848464212,0,,,,,,,1.05259261023,1.05259261023,0
gold,brent,survival_clayton,True,0,0.070895139573,0.070895139573,0,,,,,,,0.0786867076586,0.0786867076586,0
gold,brent,survival_gumbel,True,0,0.0670286943265,0.0670286943265,0,,,,,,,1.05129840963,1.05129840963,0
gold,wti,gaussian,True,0,0.0768583171674,0.0768583171674,0,0.0855102236628,0.0855102236628,0,,,,,,
gold,wti,t,True,0,0.0558837707619,0.0558837707619,0,0.0812695926164,0.0812695926164,0,7.81840016672,7.81840016672,0,,,
gold,wti,clayton,True,0,0.0841805413052,0.0841805413052,0,,,,,,,0.0965039446195,0.0965039446195,0
gold,wti,gumbel,True,0,0.0704226938122,0.0704226938122,0,,,,,,,1.05822752604,1.05822752604,0
gold,wti,frank,True,0,0.0803904912865,0.0803904912865,0,,,,,,,0.472189021577,0.472189021577,0
gold,wti,joe,True,0,0.076985052677,0.076985052677,0,,,,,,,1.0719692678,1.0719692678,0
gold,wti,survival_clayton,True,0,0.0749372462543,0.0749372462543,0,,,,,,,0.0967086030162,0.0967086030162,0
gold,wti,survival_gumbel,True,0,0.0800593598513,0.0800593598513,0,,,,,,,1.05747174998,1.05747174998,0
gold,cedi,gaussian,True,0,0.0151249350465,0.0151249350465,0,0.00542416719763,0.00542416719763,0,,,,,,
gold,cedi,t,True,0,0.0146350915361,0.0146350915361,0,0.00541825781855,0.00541825781855,0,68.355166257,68.355166257,0,,,
gold,cedi,clayton,True,0,0.0152184511104,0.0152184511104,0,,,,,,,0.0040373649889,0.0040373649889,0
gold,cedi,gumbel,True,0,0.0145132938162,0.0145132938162,0,,,,,,,1.00223465024,1.00223465024,0
gold,cedi,frank,True,0,0.0150694413267,0.0150694413267,0,,,,,,,0.0246969418113,0.0246969418113,0
gold,cedi,joe,True,0,0.0144706692322,0.0144706692322,0,,,,,,,1.00211538987,1.00211538987,0
gold,cedi,survival_clayton,True,0,0.0149389666888,0.0149389666888,0,,,,,,,0.00971321485066,0.00971321485066,0
gold,cedi,survival_gumbel,True,0,0.0155111796358,0.0155111796358,0,,,,,,,1.00393380594,1.00393380594,0
brent,wti,gaussian,True,0,4.36323037941,4.36323037941,0,0.925269432553,0.925269432553,0,,,,,,
brent,wti,t,True,0,0.459554809594,0.459554809594,0,0.943732781595,0.943732781595,0,2.05,2.05,0,,,
brent,wti,clayton,True,0,2.47119837928,2.47119837928,0,,,,,,,4.63568813797,4.63568813797,0
brent,wti,gumbel,True,0,3.19831762971,3.19831762971,0,,,,,,,4.33841441369,4.33841441369,0
brent,wti,frank,True,0,1.42930485595,1.42930485595,0,,,,,,,17.2746106459,17.2746106459,0
brent,wti,joe,True,0,5.12687332024,5.12687332024,0,,,,,,,5.28005924396,5.28005924396,0
brent,wti,survival_clayton,True,0,5.36575755378,5.36575755378,0,,,,,,,4.47666382672,4.47666382672,0
brent,wti,survival_gumbel,True,0,1.19528950331,1.19528950331,0,,,,,,,4.40211605001,4.40211605001,0
brent,cedi,gaussian,True,0,0.0189543172392,0.0189543172392,0,-0.0122925655642,-0.0122925655642,0,,,,,,
brent,cedi,t,True,0,0.0193650043726,0.0193650043726,0,-0.0108715815513,-0.0108715815513,0,25.8108392617,25.8108392617,0,,,
brent,cedi,clayton,True,0,0.0191780311368,0.0191780311368,0,,,,,,,0.00618353136878,0.00618353136878,0
brent,cedi,gumbel,True,0,0.0186792074521,0.0186792074521,0,,,,,,,1.00082967596,1.00082967596,0
brent,cedi,frank,True,0,0.0178931005777,0.0178931005777,0,,,,,,,-0.0432245199855,-0.0432245199855,0
brent,cedi,joe,True,0,0.0189427434051,0.0189427434051,0,,,,,,,1.00184068686,1.00184068686,0
brent,cedi,survival_clayton,True,0,0.0192004635488,0.0192004635488,0,,,,,,,0.00247876423506,0.00247876423506,0
brent,cedi,survival_gumbel,True,0,0.0182845627927,0.0182845627927,0,,,,,,,1.00033546474,1.00033546474,0
wti,cedi,gaussian,True,0,0.0195767681098,0.0195767681098,0,-0.0124073930636,-0.0124073930636,0,,,,,,
wti,cedi,t,True,0,0.0196039777818,0.0196039777818,0,-0.012107901935,-0.012107901935,0,73.4273022934,73.4273022934,0,,,
wti,cedi,clayton,True,0,0.0212022262733,0.0212022262733,0,,,,,,,0.00247876127839,0.00247876127839,0
wti,cedi,gumbel,True,0,0.0208566732839,0.0208566732839,0,,,,,,,1.000335464,1.000335464,0
wti,cedi,frank,True,0,0.0192228127125,0.0192228127125,0,,,,,,,-0.0580194286481,-0.0580194286481,0
wti,cedi,joe,True,0,0.0207351872974,0.0207351872974,0,,,,,,,1.00033546487,1.00033546487,0
wti,cedi,survival_clayton,True,0,0.0216557740009,0.0216557740009,0,,,,,,,0.00247876343539,0.00247876343539,0
wti,cedi,survival_gumbel,True,0,0.0208569371213,0.0208569371213,0,,,,,,,1.00033546466,1.00033546466,0
