q,tail,pair,lambda_calm,lambda_stress,difference,diff_lo,diff_hi,p_value,sig_uncorrected_5pct,diff_lo_bonf60,diff_hi_bonf60,sig_bonferroni_m60,sig_FDR_BH_5pct,bh_cutoff_p_used
0.05,lower,Cocoa–WTI,0.12796,0.11461,-0.01335,-0.12796,0.18868,0.90619,False,-0.1723,0.2758,False,False,-1.0
0.05,lower,Cocoa–Cedi,0.03011,0.05731,0.0272,-0.06022,0.11704,0.91417,False,-0.07371,0.16439,False,False,-1.0
0.05,lower,Gold–Brent,0.09033,0.11461,0.02429,-0.10538,0.19773,0.93812,False,-0.15338,0.30077,False,False,-1.0
0.05,lower,Gold–WTI,0.11291,0.11461,0.0017,-0.12796,0.18268,0.98603,False,-0.16404,0.23689,False,False,-1.0
0.05,lower,Gold–Cedi,0.03764,0.0,-0.03764,-0.07527,-0.00753,0.02395,True,-0.10978,0.03316,False,False,-1.0
0.05,lower,Brent–WTI,0.72262,0.8596,0.13698,-0.10269,0.23945,0.34731,False,-0.23981,0.29676,False,False,-1.0
0.05,lower,Brent–Cedi,0.04516,0.0,-0.04516,-0.09785,-0.00138,0.05589,True,-0.12796,0.16493,False,False,-1.0
0.05,lower,WTI–Cedi,0.04516,0.0,-0.04516,-0.09785,-0.01505,0.01198,True,-0.11291,0.0,False,False,-1.0
0.05,upper,Cocoa–Gold,0.07527,0.0,-0.07527,-0.12796,-0.00291,0.0519,True,-0.15807,0.05439,False,False,-1.0
0.05,upper,Cocoa–Brent,0.06775,0.05731,-0.01044,-0.09785,0.14934,0.92615,False,-0.12044,0.26761,False,False,-1.0
0.05,upper,Cocoa–WTI,0.05269,0.05731,0.00462,-0.07527,0.1117,0.65469,False,-0.09629,0.19755,False,False,-1.0
0.05,upper,Cocoa–Cedi,0.04516,0.0,-0.04516,-0.09033,0.05082,0.1477,False,-0.11887,0.18281,False,False,-1.0
0.05,upper,Gold–Brent,0.06775,0.05731,-0.01044,-0.10538,0.14461,0.64671,False,-0.15338,0.23667,False,False,-1.0
0.05,upper,Gold–WTI,0.09033,0.0,-0.09033,-0.14302,0.08021,0.20758,False,-0.17752,0.17833,False,False,-1.0
0.05,upper,Gold–Cedi,0.06775,0.0,-0.06775,-0.10538,0.02362,0.07186,False,-0.13393,0.12677,False,False,-1.0
0.05,upper,Brent–WTI,0.73767,0.74499,0.00731,-0.26417,0.16109,0.97405,False,-0.3951,0.23171,False,False,-1.0
0.05,upper,Brent–Cedi,0.06022,0.05731,-0.00291,-0.09785,0.16148,0.99002,False,-0.12796,0.25769,False,False,-1.0
0.05,upper,WTI–Cedi,0.05269,0.05731,0.00462,-0.09033,0.14934,0.8503,False,-0.10538,0.21357,False,False,-1.0
0.1,lower,Cocoa–Gold,0.13925,0.20057,0.06132,-0.07632,0.14925,0.61078,False,-0.15414,0.25676,False,False,-1.0
0.1,lower,Cocoa–Brent,0.15807,0.11461,-0.04346,-0.13917,0.07758,0.52695,False,-0.17428,0.13662,False,False,-1.0
0.1,lower,Cocoa–WTI,0.15807,0.14327,-0.01481,-0.13018,0.12615,0.88224,False,-0.19508,0.21619,False,False,-1.0
0.1,lower,Cocoa–Cedi,0.10162,0.08596,-0.01566,-0.10307,0.10539,0.71058,False,-0.1321,0.2226,False,False,-1.0
0.1,lower,Gold–Brent,0.17313,0.17192,-0.00121,-0.13088,0.1372,0.7505,False,-0.16203,0.19386,False,False,-1.0
0.1,lower,Gold–WTI,0.17313,0.22923,0.0561,-0.07126,0.1892,0.4511,False,-0.12074,0.27649,False,False,-1.0
0.1,lower,Gold–Cedi,0.0828,0.02865,-0.05415,-0.11291,0.05294,0.36327,False,-0.15274,0.08457,False,False,-1.0
0.1,lower,Brent–WTI,0.75649,0.80229,0.0458,-0.13255,0.15289,0.89022,False,-0.17348,0.21885,False,False,-1.0
0.1,lower,Brent–Cedi,0.10538,0.02865,-0.07673,-0.13173,-0.0006,0.0519,True,-0.14678,0.03275,False,False,-1.0
0.1,lower,WTI–Cedi,0.07527,0.02865,-0.04662,-0.10915,0.01259,0.0998,False,-0.12718,0.07851,False,False,-1.0
0.1,upper,Cocoa–Gold,0.13925,0.08596,-0.05329,-0.13816,0.07192,0.42715,False,-0.17156,0.12113,False,False,-1.0
0.1,upper,Cocoa–Brent,0.13925,0.05731,-0.08195,-0.15252,0.00368,0.06387,False,-0.16936,0.06811,False,False,-1.0
0.1,upper,Cocoa–WTI,0.14302,0.08596,-0.05706,-0.13695,0.03233,0.2475,False,-0.17376,0.06199,False,False,-1.0
0.1,upper,Cocoa–Cedi,0.09409,0.05731,-0.03678,-0.11112,0.06544,0.43513,False,-0.13691,0.1196,False,False,-1.0
0.1,upper,Gold–Brent,0.15431,0.14327,-0.01104,-0.13037,0.09374,0.71856,False,-0.19996,0.14765,False,False,-1.0
0.1,upper,Gold–WTI,0.17313,0.20057,0.02745,-0.10234,0.12922,0.87425,False,-0.19546,0.1943,False,False,-1.0
0.1,upper,Gold–Cedi,0.11291,0.08596,-0.02695,-0.12796,0.07228,0.43114,False,-0.15118,0.14188,False,False,-1.0
0.1,upper,Brent–WTI,0.73391,0.77364,0.03973,-0.08763,0.16571,0.50699,False,-0.16043,0.22216,False,False,-1.0
0.1,upper,Brent–Cedi,0.10162,0.08596,-0.01566,-0.10162,0.10279,0.91816,False,-0.14302,0.16018,False,False,-1.0
0.1,upper,WTI–Cedi,0.10915,0.11461,0.00547,-0.08502,0.1389,0.78244,False,-0.13016,0.18074,False,False,-1.0
