treatment,pair,q,n,lambda_L_full,lambda_U_full,lambda_calm,lambda_stress,difference,p_value,sig_nominal_5pct
F_hurdle_mixture,Gold–Cedi,0.05,3006,0.0333,0.0532,0.0376,0.0,-0.0376,0.0559,False
F_hurdle_mixture,Gold–Cedi,0.1,3006,0.0832,0.1098,0.0866,0.0573,-0.0293,0.489,False
F_hurdle_mixture,Brent–Cedi,0.025,3006,0.0399,0.0133,0.0452,0.0,-0.0452,0.1138,False
F_hurdle_mixture,Brent–Cedi,0.05,3006,0.0466,0.0399,0.0527,0.0,-0.0527,0.024,True
F_hurdle_mixture,Brent–Cedi,0.1,3006,0.0865,0.1031,0.0941,0.0573,-0.0368,0.3633,False
F_hurdle_mixture,WTI–Cedi,0.025,3006,0.0532,0.0133,0.0602,0.0,-0.0602,0.0798,False
F_hurdle_mixture,WTI–Cedi,0.05,3006,0.0466,0.0333,0.0527,0.0,-0.0527,0.008,True
F_hurdle_mixture,WTI–Cedi,0.1,3006,0.0865,0.1065,0.0903,0.0573,-0.033,0.495,False
G_hurdle_markov,Cocoa–Cedi,0.025,3006,0.0133,0.0266,0.0,0.0,0.0,1.0,False
G_hurdle_markov,Cocoa–Cedi,0.05,3006,0.0466,0.0466,0.0301,0.1146,0.0845,0.2735,False
G_hurdle_markov,Cocoa–Cedi,0.1,3006,0.1065,0.0965,0.1054,0.1719,0.0665,0.3932,False
G_hurdle_markov,Gold–Cedi,0.025,3006,0.0133,0.0266,0.0151,0.0,-0.0151,0.6806,False
G_hurdle_markov,Gold–Cedi,0.05,3006,0.0532,0.0665,0.0527,0.0,-0.0527,0.0639,False
G_hurdle_markov,Gold–Cedi,0.1,3006,0.1031,0.0965,0.0979,0.086,-0.0119,0.8104,False
G_hurdle_markov,Brent–Cedi,0.025,3006,0.0133,0.0266,0.0151,0.0,-0.0151,0.7625,False
G_hurdle_markov,Brent–Cedi,0.05,3006,0.0399,0.0532,0.0452,0.0,-0.0452,0.0259,True
G_hurdle_markov,Brent–Cedi,0.1,3006,0.0898,0.0998,0.1016,0.0287,-0.073,0.018,True
G_hurdle_markov,WTI–Cedi,0.025,3006,0.0133,0.0266,0.0151,0.0,-0.0151,0.6287,False
G_hurdle_markov,WTI–Cedi,0.05,3006,0.0266,0.0599,0.0301,0.0,-0.0301,0.0818,False
G_hurdle_markov,WTI–Cedi,0.1,3006,0.0765,0.0965,0.079,0.0573,-0.0217,0.5948,False
